Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Readability
A,Philip Morris International Inc,PM,Moody's Investors Service,6/15/2012,Consumer Non-Durables,1.004393673,0.415573881,0.172367176,15.30355225,0.112527179,0.164147434,0.267453436,0.174626045,0.24208183,0.60558616,37.51528384,2.151318756,12.21536,153.9694323,0.993547115,0.291493776,0.914806724,5.469619534,1.673480977,154.9694323,0.164147434,10.21870157,5.978989211,0.137911613,10.35693501,3.383762919,0.715975595,1.338563068,2.658448512,0.261486739,0.466940605,0.659942722,8.62
A,AT&T Inc.,T,Egan-Jones Ratings Company,10/28/2014,Public Utilities,0.859074084,0.627112279,0.230754788,40.0337871,0.046992382,0.075199891,0.542375441,0.08868453,0.021254725,0.038975218,0.071602779,0.452301514,1.1731563,2.368793429,0.703157816,0.345582329,0.32353692,1.947934678,1.700864553,3.368793429,0.075199891,8.155255005,6.02074928,0.236607851,2.569133605,0.851788756,0.919931857,0.681431005,2.65758092,0.102214651,0.442930153,0.954003407,7.89
A,AT&T Inc.,T,Moody's Investors Service,6/15/2012,Public Utilities,0.747775541,0.666006365,0.103429239,39.18933422,0.031123001,0.052997483,0.547248724,0.072741333,0.01458882,0.028035901,0.03727894,0.468747226,1.183364928,1.555308752,0.608657858,0.377010125,0.419591318,2.45242915,1.164473684,2.555308752,0.052997483,8.53399239,5.844804318,0.273415244,2.889213415,1.208459215,1.66163142,1.208459215,0,1.057401813,0.906344411,1.510574018,12.17
BBB,AT&T Inc.,T,Standard & Poor's Ratings Services,10/24/2016,Public Utilities,0.758640462,0.479595065,0.114441632,37.42572625,0.076947969,0.12096272,0.885478612,0.148651289,0.031209372,0.05608572,0.101547015,0.405590596,1.311347569,2.25373459,0.692660857,0.327024026,0.453131354,2.890402075,1.209792477,3.25373459,0.12096272,7.484375822,6.378728923,0.240215891,0.60238294,0.385423966,0.490539594,0.490539594,2.978276104,0.105115627,0.315346882,1.01611773,8.5
A,AT&T Inc.,T,Moody's Investors Service,11/28/2012,Public Utilities,0.714317174,0.695441533,0.153144367,36.25253072,0.057002056,0.081916914,0.566716889,0.10199005,0.02667499,0.043400353,0.078364529,0.467965408,1.160950012,1.937752845,0.659603768,0.277804387,0.503139677,3.397862438,1.628857094,2.937752845,0.081916914,8.509777778,6.753318393,0.307421881,2.640476304,1.365187713,1.554797118,0.303375047,3.526734926,0.113765643,0.151687524,1.023890785,7.32
A,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,9/27/2013,Public Utilities,1.216566404,0.389287367,0.17364646,1.691600943,0.108342142,0.15936255,1,0.202536792,0.023218533,0.036934093,0.064481007,0.214307495,0.35397899,1.777135253,0.63991671,0.321683673,0.134127233,1.212464589,4.604815864,2.777135253,0.15936255,10.72918524,9.039660057,0.259451988,0,1.381472022,0.975156722,1.543998143,1.14929185,0.058045043,0.371488275,0.394706292,11.6
AA,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,5/26/2015,Public Utilities,1.030446007,0.36775572,0.181251669,1.388296761,0.078704284,0.172789969,1,0.219770115,0.0155995,0.037761701,0.046067278,0.198203945,0.34156126,1.953125382,0.661375705,0.403725206,0.182508351,1.700141443,5.714285714,2.953125382,0.172789969,11.36246207,9.315417256,0.275276907,3.619110524,1.830994051,1.27649743,1.438225611,1.605729798,0.179056201,0.444752498,0.895281003,11.39
AA,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,9/22/2015,Public Utilities,0.73,0.282894737,0.075175439,0.731275843,0.120039217,0.176350228,1,0.228782131,0.023242761,0.0376927,0.070883782,0.193626399,0.309857481,2.0497143,0.672100433,0.320522117,-0.013481126,-0.129682997,4.57925072,3.0497143,0.176350228,10.1303118,9.619596542,0.28458161,3.1925,1.830994051,1.27649743,1.438225611,1.605729798,0.179056201,0.444752498,0.895281003,11.39
A,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,06-10-2013,Public Utilities,1.009273108,0.184863895,0.141988234,1.804168365,0.090093763,0.124898084,1,0.159294741,0.015528387,0.023606576,0.043266525,0.172358066,0.286239389,1.786285882,0.641099283,0.287637699,-0.049008391,-0.447735192,3.06097561,2.786285882,0.124898084,13.23460713,9.135888502,0.267223808,0,1.381472022,0.975156722,1.543998143,1.14929185,0.058045043,0.371488275,0.394706292,11.6
BBB,Duke Energy Corporation,DUK,Moody's Investors Service,6/15/2012,Public Utilities,1.244573082,0.439399421,0.381693198,3.24075986,0.117420332,0.169660679,1,0.191134971,0.02728465,0.043247131,0.074916564,0.232367335,0.340568669,1.745740383,0.635799507,0.305070994,-0.188180828,-0.518768769,1.726726727,2.745740383,0.169660679,21.22620862,2.756756757,0.252735907,0.242847174,1.384114348,1.917857789,0.958928895,0.805138411,0.072371992,0.352813461,0.669440926,12.31
BBB,Duke Energy Corporation,DUK,Moody's Investors Service,08-10-2016,Public Utilities,0.69595706,0.290104753,0.033936456,12.05271952,0.094622521,0.164182386,1,0.23484149,0.01620958,0.030806039,0.052445593,0.171307839,0.275605914,2.235469013,0.690925799,0.309587574,-0.162253604,-1.596237337,3.762662808,3.235469013,0.164182386,10.93080143,9.837916064,0.298905158,2.212758851,1.68985452,1.264214472,1.740677212,1.346801347,0.16517375,0.451051394,0.914808462,10.9
AA,Danaher Corporation,DHR,Egan-Jones Ratings Company,4/28/2014,Capital Goods,2.013009674,1.450457216,0.688077042,65.89779266,0.140966628,0.186525787,0.520849461,0.171299299,0.077727978,0.118295693,0.120391507,0.551392758,8.64559309,0.548882526,0.354373244,0.244251262,0.846177447,4.358908046,4.475862069,1.548882526,0.186525787,9.620959735,5.151293103,0.187535307,5.151501518,1.656099177,1.088293745,1.372196461,0.482634617,0.132487934,0.634049399,0.340683259,12
AA,Danaher Corporation,DHR,Egan-Jones Ratings Company,7/18/2014,Capital Goods,1.747702172,1.230338744,0.556963902,66.60391286,0.130482379,0.174843576,0.5243851,0.172307646,0.070242784,0.110199935,0.111146757,0.538331572,9.039400817,0.582322772,0.36801769,0.253719341,0.841022776,4.501424096,4.280262034,1.582322772,0.174843576,10.14399103,5.352321276,0.188733441,5.05136,1.656099177,1.088293745,1.372196461,0.482634617,0.132487934,0.634049399,0.340683259,12
A,Danaher Corporation,DHR,Egan-Jones Ratings Company,10/27/2015,Capital Goods,1.270047323,0.77059834,0.128160249,70.36373407,0.163273047,0.161648779,0.523388983,0.168705108,0.069623534,0.079045368,0.141720451,0.426423929,7.277427803,1.035525088,0.508726271,0.218200963,0.833499921,4.539177768,1.132788999,2.035525088,0.161648779,12.81696067,5.445924653,0.184884575,4.783113714,1.337929423,1.127599907,1.466464127,0.490768871,0.122692218,0.297966815,0.607618602,11.33
A,Danaher Corporation,DHR,Moody's Investors Service,6/15/2012,Capital Goods,1.503431185,125.950472,0.12871462,69.18423341,0.135002554,0.152129699,0.508165916,0.162656194,0.072531022,0.094960981,0.128499964,0.537256665,7.658551445,0.771655217,0.435556089,0.209392818,0.872643947,3.389383423,772.6160191,1.771655217,0.152129699,9.730735496,3.884039345,0.163218077,5.56359996,1.798522642,1.113371159,1.423830425,0.363986725,0.074938443,0.717267958,0.353281233,11.59
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,4/19/2016,Technology,1.692499769,1.580057596,0.088480563,61.04440742,0.037961466,0.061506856,0.072211677,0.072211677,0.041544729,0.076727905,0.091421267,1.094392094,55.96825197,1.200550354,0.545568227,0.380058838,0.923083119,7.82636903,1.509411413,2.200550354,0.061506856,9.090784028,8.478509539,0.055727183,58.18365588,1.157844991,1.654064272,0.897920605,0.921550095,0.212665406,0.283553875,0.661625709,10.34
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,11/26/2014,Technology,1.741295875,1.609233128,0.152539004,61.02316954,0.041197559,0.066546351,0.07355832,0.07355832,0.045157121,0.083439041,0.111792247,1.096111562,53.76345185,1.475628333,0.596062145,0.376891149,0.938078298,10.16479791,2.801434159,2.475628333,0.066546351,8.629256679,10.83576706,0.067716371,61.11965383,0.586450961,0.424671385,1.496461072,1.395348837,0.101112235,0.485338726,0.990899899,8.67
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,10/25/2013,Technology,0.980445633,0.914422204,0.086649858,60.92760708,0.041197559,0.066546351,0.07355832,0.07355832,0.060644914,0.139314897,0.125893122,1.472051142,56.20500687,1.075905695,0.518282549,0.376891149,0.938078298,10.16479791,2.796045198,2.075905695,0.066546351,6.354931925,10.83576706,0.067716371,25.63366724,0.554642564,0.349219392,1.437962202,1.396877568,0.102711586,0.390304026,0.94494659,8.29
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,9/29/2016,Technology,1.631063598,1.509085665,0.086843744,88.54608577,0.038085658,0.060849833,0.071339799,0.071339799,0.031648911,0.058916797,0.078519616,0.830992885,40.72481011,1.480957927,0.596929884,0.37360321,0.92310744,8.744696843,2.049523969,2.480957927,0.060849833,12.09403002,9.473108402,0.068466964,32.29842553,1.157844991,1.654064272,0.897920605,0.921550095,0.212665406,0.283553875,0.661625709,10.34
B,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,11/20/2015,Health Care,5.715491624,5.369999673,0.90732456,31.54748596,-0.351744488,-0.349551962,0.852234124,-0.127266188,-0.161687524,-0.183004208,-12.62669155,0.459673227,3.235168779,77.09317157,0.987194783,-0.00627239,1.153181999,-636.2620604,2332.392154,78.09317157,-0.349551962,2.902293102,-551.744704,-0.316672733,14.43165468,1.86330541,0.73201284,1.295701871,2.168636969,0.26227198,0.544116496,1.041258906,12.78
B,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,04-01-2015,Health Care,4.499820444,3.769591082,0.193061346,6.55958686,-0.268630392,-0.271181374,0.857837544,-0.082134654,-0.122086586,-0.144151875,-1.483981064,0.454477935,2.852248181,11.15515248,0.917730362,0.009406923,1.070250553,-1197.906568,1874.504426,12.15515248,-0.271181374,0.521804182,-1119.276757,-0.707528885,10.55604883,2.0934028,0.66850794,1.418617789,2.156173498,0.147511142,0.533550938,0.938421945,12.53
B,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,4/14/2014,Health Care,2.625528146,2.435884383,0.3977459,5.463198609,-1.087912383,-1.072837276,0.741413233,-0.806669308,-0.372849098,-0.475067349,1.802086693,0.342719785,2.223564368,-5.833286987,1.206898536,-0.014051625,1.106185273,-368.24733,2048.059309,-4.833286987,-1.072837276,0.144309757,-332.8984205,-0.258707637,4.224794295,2.100245422,0.792901642,1.48669058,2.289031527,0.151028884,0.500283179,0.995846706,12.9
CCC,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,6/17/2013,Health Care,4.006149968,3.603384392,0.323885557,26.09679644,-2.116675494,-2.111674939,0.625229397,-1.739121331,-0.345235943,-0.408939232,-3.65508954,0.163102915,1.124295506,9.587221915,0.905546516,-0.002368051,1.081560776,-1222.252221,2414.161296,10.58722192,-2.111674939,0.003473199,-1130.081867,-1.598157431,10.62801257,2.230522946,0.426894344,1.337602277,2.095339737,0.234791889,0.501600854,0.828886517,12.29
A,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,5/15/2015,Public Utilities,0.920117457,0.656918559,0.037094744,7386.005747,33.81034483,54.59770115,1,63.9137931,0.038797367,0.070398008,0.052071624,0.0011475,0.001545609,0.34214323,0.254923038,0.380736842,0.38540536,2.046099291,3.298315603,1.34214323,54.59770115,11.18531636,5.308953901,68.83333333,2.851637765,2.307092172,0.516402274,1.411747223,2.195638444,0.204331835,0.586989635,0.884199576,12.58
BBB,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,12-05-2013,Public Utilities,1.036554397,0.8078054,0.017375033,3087.291667,12.02916667,19.06875,1,22.50208333,0.039094344,0.068959542,0.05455559,0.003249963,0.004401005,0.395485511,0.283403524,0.369168579,0.441592201,2.388400703,3.527240773,1.395485511,19.06875,9.661776667,5.408611599,25.64583333,1.967308815,2.104638121,0.488223263,1.873721713,1.721976644,0.230916408,0.560796991,1.161179653,10.99
A,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,9/14/2015,Public Utilities,0.81461794,0.5393134,0.018383167,63.35347024,0.10774371,0.181249051,0.621994229,0.211015676,0.021750831,0.040309688,0.056762115,0.201875647,0.308816709,1.609652671,0.616807244,0.40387301,0.0211812,0.101069716,1.594983401,2.609652671,0.181249051,13.19784787,4.77167097,0.218288588,2.747240618,1.738024587,0.367387311,1.695633743,0.791295747,0.141302812,0.339126749,0.551080967,11.06
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,8/14/2015,Public Utilities,0.542663335,0.303998572,0.023384506,34.37208838,0.038466658,0.059430321,1,0.152535605,0.011075555,0.01916926,0.046534095,0.287926112,0.403772774,3.201513566,0.761990534,0.352743561,0.215549753,1.760663507,0.682464455,4.201513566,0.059430321,8.184463602,8.168246445,0.229402369,0.810232558,2.378371485,0.497353823,2.110565581,1.963909966,0.286934898,0.586622457,1.122234266,10.84
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,6/13/2014,Public Utilities,0.508969491,0.275500851,0.02854524,42.08621036,0.026278742,0.038211437,1,0.107729436,0.007774076,0.013321803,0.030885597,0.29583135,0.448604595,2.972896313,0.748294463,0.342105263,0.009015778,0.057416268,0.918660287,3.972896313,0.038211437,8.448940118,6.368421053,0.178454113,1.9968,2.240062152,0.394924252,1.883982908,1.637964522,0.239544219,0.582675126,1.249514437,11.22
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,8/29/2014,Public Utilities,0.696996943,0.323323143,0.015285021,37.69087647,0.01986843,0.011362881,1,0.070569473,0.005731703,0.003669134,0.024074074,0.28848292,0.420562837,3.200161031,0.76191389,-0.245614035,-0.220788795,-1.426190476,0.580952381,4.200161031,0.011362881,14.04790236,6.45952381,0.180277759,0.979671618,2.153000458,0.421438388,1.878149336,2.107191938,0.311497939,0.604672469,1.19102153,11.26
BBB,FirstEnergy Corp.,FE,Moody's Investors Service,6/15/2012,Public Utilities,0.691040165,0.404119464,0.041606591,34.23699102,0.05443474,0.088756305,0.857485546,0.104440891,0.01870008,0.033976125,0.066641566,0.343532097,0.535913241,2.563704819,0.719393145,0.397782398,0.255305256,1.959899749,1.095238095,3.563704819,0.088756305,10.16552395,7.676691729,0.188399557,1.973594549,1.408345937,0.587637301,1.041382559,1.676130024,0.20579703,0.411594059,0.77111899,11.82
BBB,FirstEnergy Corp.,FE,Moody's Investors Service,03-01-2013,Public Utilities,0.495463511,0.260092045,0.0226167,38.49637326,0.050316931,0.086518983,1,0.142194341,0.015275959,0.030933857,0.058850504,0.30359481,0.465094368,2.852491593,0.740427727,0.417673716,-0.155172414,-0.861244019,0.870813397,3.852491593,0.086518983,8.880766807,5.550239234,0.151604261,1.545340838,1.520553889,0.586714962,1.305487954,1.522440432,0.239590997,0.648970891,0.95270436,11.93
B,Vector Group Ltd.,VGR,Egan-Jones Ratings Company,12-11-2013,Consumer Non-Durables,1.45260182,1.034947717,0.578921248,4.201888847,0.036633213,0.060108881,0.292571483,0.106074607,0.030704062,0.074240429,-0.40712993,0.838148202,13.32609957,-14.25980681,1.07541588,0.390552397,0.744839119,0.42347729,4.447762818,-13.25980681,0.060108881,14.08104546,0.568548669,0.049257716,27.99078445,1.339708153,0.622540963,1.060809801,1.787937646,0.263957368,0.448229494,0.831714727,13.49
B,Vector Group Ltd.,VGR,Egan-Jones Ratings Company,8/28/2015,Consumer Non-Durables,2.698846929,2.063104507,1.111312485,5.261586281,0.035721764,0.064992273,0.330359034,0.120637438,0.045163249,0.098408902,-0.287303382,1.264306248,21.91132061,-7.361441807,1.157197068,0.382832738,0.924023561,1.133673489,3.586464593,-6.361441807,0.064992273,13.4168709,1.226888077,0.087182755,56.50628851,1.792239429,0.539411867,1.170175744,2.214198712,0.174003828,0.43500957,0.830868279,13.09
BBB,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,11/13/2011,Consumer Non-Durables,1.617208866,1.085914251,0.764354469,8.008951102,0.066191392,0.108663467,0.212194498,0.126454499,0.080860732,0.201049676,-0.842637313,1.22162006,20.03996039,-11.42084691,1.09596149,0.390858822,0.671540745,0.30763536,4.034468125,-10.42084691,0.108663467,8.456252317,0.458103789,0.031799573,93.67215695,1.746926703,0.545336907,1.289398281,2.028838155,0.166373972,0.499121915,0.794897865,13.06
BB,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,11/29/2016,Consumer Non-Durables,3.596585232,2.902063748,2.006291168,4.058292119,0.042063362,0.074768074,0.351048435,0.137790673,0.050658994,0.104669559,-0.214237952,1.204349607,21.01915523,-5.229021084,1.236461342,0.388858569,0.726627473,0.571990473,4.437838217,-4.229021084,0.074768074,12.8667562,0.787185311,0.057740358,103.787383,1.190505413,0.645573038,0.999042686,1.369694887,0.297012691,0.400108005,0.905765974,11.72
B,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,1/30/2013,Consumer Non-Durables,3.274540247,2.495841852,2.079612009,3.785136822,0.028234856,0.049529481,0.240740365,0.142855167,0.028178086,0.060249761,-0.386387725,0.997989383,18.97618673,-14.71234795,1.072926971,0.429938381,0.866030017,0.860640009,5.623736026,-13.71234795,0.049529481,7.209406902,0.993776188,0.077531059,135.0142646,0.323624595,0.323624595,0.323624595,1.618122977,0,0,0.647249191,9.3
